year,link,week_ending,last_year,this_year
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-december-11-2020,2020-12-11,155660000,169684000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-november-20-2020,2020-11-20,155402000,168650000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-october-16-2020,2020-10-16,154297000,165624000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-july-24-2020,2020-07-24,146342000,152875000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-july-17-2020,2020-07-17,145941000,151782000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-july-10-2020,2020-07-10,145678000,147142000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-july-3-2020,2020-07-03,145303000,142375000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-june-26-2020,2020-06-26,144990000,139938000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-june-19-2020,2020-06-19,144563000,138272000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-june-12-2020,2020-06-12,144125000,136509000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-june-5-2020,2020-06-05,143650000,135229000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-29-2020,2020-05-29,143166000,133811000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-22-2020,2020-05-22,142737000,132351000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-15-2020,2020-05-15,142200000,130496000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-8-2020,2020-05-08,141567000,128204000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-1-2020,2020-05-01,141001000,125474000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-24-2020,2020-04-24,139364000,121892000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-17-2020,2020-04-17,137233000,115961000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-10-2020,2020-04-10,119427000,103986000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-3-2020,2020-04-03,103460000,97366000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-27-2020,2020-03-27,92861000,90617000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-20-2020,2020-03-20,84075000,84222000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-13-2020,2020-03-13,75881000,76191000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-6-2020,2020-03-06,67721000,67998000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-28-2020,2020-02-28,59223000,59305000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-21-2020,2020-02-21,49923000,49888000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-14-2020,2020-02-14,39747000,39622000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-7-2020,2020-02-07,28764000,28662000
2020,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-january-31-2020,2020-01-31,16035000,15777000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-december-27-2019,2019-12-27,154865000,155798000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-november-22-2019,2019-11-22,154444000,155402000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-october-18-2019,2019-10-18,153383000,154297000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-10-2019,2019-05-10,141531000,141567000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-3-2019,2019-05-03,140895000,141001000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-26-2019,2019-04-26,139903000,139364000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-19-2019,2019-04-19,136919000,137233000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-12-2019,2019-04-12,118580000,119427000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-5-2019,2019-04-05,103762000,103460000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-29-2019,2019-03-29,94139000,92861000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-22-2019,2019-03-22,85689000,84075000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-15-2019,2019-03-15,77795000,75881000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-8-2019,2019-03-08,69484000,67721000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-1-2019,2019-03-01,61150000,59223000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-22-2019,2019-02-22,51740000,49923000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-15-2019,2019-02-15,41738000,39747000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-8-2019,2019-02-08,30881000,28764000
2019,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-1-2019,2019-02-01,18302000,16035000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-november-23-2018,2018-11-23,151825000,154444000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-october-19-2018,2018-10-19,150838000,153383000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-august-31-2018,2018-08-31,145329000,147358000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-11-2018,2018-05-11,139586000,141531000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-4-2018,2018-05-04,138945000,140895000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-27-2018,2018-04-27,137496000,139903000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-20-2018,2018-04-20,135638000,136919000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-13-2018,2018-04-13,118463000,118580000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-6-2018,2018-04-06,103612000,103762000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-30-2018,2018-03-30,93675000,94139000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-23-2018,2018-03-23,85251000,85689000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-16-2018,2018-03-16,77475000,77795000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-9-2018,2018-03-09,69403000,69484000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-2-2018,2018-03-02,61063000,61150000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-23-2018,2018-02-23,52096000,51740000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-16-2018,2018-02-16,42502000,41738000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-9-2018,2018-02-09,32089000,30881000
2018,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-2-2018,2018-02-02,20181000,18302000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-december-29-2017,2017-12-29,152544000,152235000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-september-1-2017,2017-09-01,145734000,145329000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-12-2017,2017-05-12,140258000,139586000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-5-2017,2017-05-05,139.62,138945000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-28-2017,2017-04-28,138827000,137496000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-21-2017,2017-04-21,136528000,135638000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-7-2017,2017-04-07,107452000,103612000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-31-2017,2017-03-31,97631000,93675000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-24-2017,2017-03-24,89412000,85251000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-17-2017,2017-03-17,81.96000000000001,77475000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-10-2017,2017-03-10,74456000,69403000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-3-2017,2017-03-03,66723000,61063000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-24-2017,2017-02-24,58304000,52096000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-10-2017,2017-02-17,38737000,32090000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-10-2017,2017-02-10,38737000,32090000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-3-2017,2017-02-03,26670000,20181000
2017,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-jan-27-2017,2017-01-27,13288000,8912000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-the-week-ending-dec-30-2016,2016-12-30,150991000,152544000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-dec-2-2016,2016-12-02,150655000,152216000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-oct-21-2016,2016-10-21,149821000,151187000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-6-2016,2016-05-13,137312000,139620000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-6-2016,2016-05-06,137312000,139620000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-22-2016,2016-04-22,134209000,136528000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-15-2016,2016-04-15,132268000,124616000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-8-2016,2016-04-08,110754000,107452000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-1-2016,2016-04-01,99056000,97631000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-25-2016,2016-03-25,90255000,89412000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-18-2016,2016-03-18,82289000,81960000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-11-2016,2016-03-11,74455000,74456000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-4-2016,2016-03-04,66700000,66733000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-feb-26-2016,2016-02-26,58528000,58304000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-feb-19-2016,2016-02-19,49652000,49020000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-feb-12-2016,2016-02-12,39699000,38737000
2016,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-feb-5-2016,2016-02-05,27517000,26670000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-december-25-2015,2015-12-25,149685000,150927000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-nov-20-2015,2015-11-20,149215000,150497000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-oct-30-2015,2015-10-30,148787000,150062000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-sept-25-2015,2015-09-25,143912000,145088000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-aug-28-2015,2015-08-28,142578000,143780000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-july-31-2015,2015-07-31,141336000,142603000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-15-2015,2015-05-15,136887000,138209000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-8-2015,2015-05-08,136244000,137312000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-1-2015,2015-05-01,135504000,136191000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-24-2015,2015-04-24,134334000,134209000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-17-2015,2015-04-17,131170000,132268000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-10-2015,2015-04-10,112741000,110754000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-3-2015,2015-04-03,99848000,99055000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-27-2015,2015-03-27,90762000,90256000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-13-2015,2015-03-20,75101000,74455000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-13-2015,2015-03-13,75101000,74455000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-march-6-2015,2015-03-06,67183000,66700000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-feb-27-2015,2015-02-27,58883000,58528000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-feb-20-2015,2015-02-20,49558000,49651000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-feb-13-2015,2015-02-13,39224000,39699000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-february-6-2015,2015-02-06,27249000,27517000
2015,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-jan-30-2015,2015-01-30,11169000,14026000
2014,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-dec-26-2014,2014-12-26,148197000,149684000
2014,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-nov-21-2014,2014-11-21,147744000,149215000
2014,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-16-2014,2014-05-16,135096000,136887000
2014,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-9-2014,2014-05-09,134465000,136243000
2014,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-may-2-2014,2014-05-02,133803000,135504000
2014,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-25-2014,2014-04-25,132760000,134334000
2014,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-18-2014,2014-04-18,130203000,131170000
2014,https://www.irs.gov//newsroom/april-11-2014-filing-season-statistics,2014-04-11,112403000,112741000
2014,https://www.irs.gov//newsroom/filing-season-statistics-for-week-ending-april-4-2014,2014-04-04,99131000,99850000
2014,https://www.irs.gov//newsroom/filing-season-stats-for-march-28-2014,2014-03-28,90244000,90761000
2014,https://www.irs.gov//newsroom/filing-season-stats-for-march-21-2014,2014-03-21,82413000,82852000
2014,https://www.irs.gov//newsroom/filing-season-stats-for-march-14-2014,2014-03-14,74882000,75100000
2014,https://www.irs.gov//newsroom/filing-season-stats-for-march-7-2014,2014-03-07,67143000,67183000
2014,https://www.irs.gov//newsroom/filing-season-stats-for-feb-28-2014,2014-02-28,58044000,58883000
2014,https://www.irs.gov//newsroom/filing-season-stats-for-feb-21-2014,2014-02-21,49448000,49558000
